ID_MOVIE,ID_USER,RATING,RATING_DATE
962,915,5,17/08/2005
962,2442,3,14/04/2004
962,3321,3,27/09/2005
962,4326,4,29/10/2005
962,11589,3,19/10/2005
962,13651,3,16/06/2004
962,14756,4,27/12/2005
962,14924,5,4/10/2005
962,16272,4,20/01/2005
962,21722,4,07/02/2005
962,30245,5,19/10/2004
962,30878,4,26/12/2005
962,31913,4,15/10/2004
962,34907,3,17/08/2005
962,38052,3,03/06/2004
962,42921,3,4/10/2005
962,42930,3,14/05/2005
962,45117,5,15/08/2005
962,51334,4,18/05/2005
962,54774,4,25/05/2005
962,55016,3,12/05/2004
962,57961,4,9/11/2004
962,59052,2,12/07/2004
962,60343,5,08/05/2005
962,68033,4,4/10/2005
962,68959,3,11/08/2005
962,87113,2,21/09/2005
962,93986,5,6/10/2005
962,94565,4,15/12/2004
962,99400,5,16/09/2005
962,101597,5,1/10/2004
962,120491,5,13/09/2004
962,121073,5,16/12/2004
962,121318,4,06/06/2005
962,121456,4,19/04/2005
962,122197,1,09/03/2005
962,124105,4,05/08/2004
962,134001,4,06/05/2005
962,136106,3,08/08/2005
962,143274,3,31/08/2005
962,145873,3,25/02/2004
962,147386,5,19/09/2004
962,151004,5,09/07/2004
962,155164,4,29/10/2004
962,166041,4,02/09/2005
962,172264,4,17/09/2005
962,173930,4,30/06/2005
962,181592,4,26/03/2005
962,188613,4,15/09/2005
962,190418,3,30/09/2004
962,194280,1,14/12/2004
962,202811,3,18/07/2005
962,206115,4,23/08/2005
962,208920,4,23/01/2005
962,209573,4,31/10/2005
962,225765,4,10/05/2004
962,230112,3,26/08/2004
962,231001,3,03/01/2005
962,235553,4,15/07/2004
962,236921,5,19/03/2005
962,253794,5,10/08/2004
962,255383,5,10/04/2005
962,255443,2,23/05/2005
962,259799,4,23/06/2005
962,263240,3,07/07/2004
962,269524,3,05/03/2005
962,272689,5,03/03/2005
962,287901,5,30/05/2005
962,288420,5,02/06/2005
962,305344,1,08/02/2004
962,308753,5,31/10/2005
962,314933,3,12/09/2005
962,317050,5,15/11/2005
962,320540,2,26/07/2005
962,321111,2,02/05/2005
962,322009,3,20/05/2004
962,328415,3,1/11/2004
962,332401,3,28/04/2005
962,334701,3,07/02/2005
962,337541,5,23/03/2005
962,344753,3,21/07/2004
962,352635,5,11/05/2004
962,353369,3,01/08/2005
962,358776,4,21/11/2005
962,361066,3,24/09/2004
962,369646,5,30/04/2005
962,372233,5,23/11/2005
962,379184,4,11/02/2005
